Country Name,Country Code,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,,
Marshall Islands,MHL,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,5.555555556,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,11.11111111,,
Malaysia,MYS,3.098462943,3.05828641,3.051894689,3.038502511,3.003195861,3.023284127,3.000152184,2.942931061,2.8945366,2.895449703,2.781616192,2.806574342,2.775528839,2.794095267,2.914624867,2.820575255,2.84735961,2.80292193,2.824532035,2.833663065,2.90366763,2.891492923,2.90366763,,
"Macao SAR, China",MAC,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,,
Lao PDR,LAO,3.46187175,3.46187175,3.46187175,3.56152513,3.587521664,3.570190641,3.70017331,3.734835355,3.79982669,3.986135182,4.202772964,4.397746967,4.592720971,4.787694974,4.982668977,5.199306759,5.372616984,5.589254766,5.89254766,6.065857886,6.187175043,6.282495667,6.451473137,,
"Korea, Rep.",KOR,19.97719262,19.67654987,19.43810906,19.12709932,18.48434584,18.09040017,17.85195936,17.70682148,17.61351856,17.8104914,17.45916891,17.29517512,17.13842975,17.07291882,16.9643779,16.71139554,16.47750722,16.12903226,15.81874356,15.49933148,15.30391854,15.63636364,15.3468902,,
"Korea, Dem. Rep.",PRK,19.10140354,19.10140354,19.10140354,19.93189934,19.93189934,19.10140354,19.10140354,19.10140354,19.10140354,19.10140354,19.10140354,19.10140354,19.10140354,19.10140354,19.51665144,19.51665144,19.51665144,19.93189934,19.93189934,19.93189934,19.51665144,19.51665144,19.51665144,,
Kiribati,KIR,2.469135802,2.469135802,2.469135802,2.469135802,2.469135802,2.469135802,2.469135802,2.469135802,2.469135802,2.469135802,2.469135802,2.469135802,2.469135802,2.469135802,2.469135802,2.469135802,2.469135802,2.469135802,2.469135802,2.469135802,2.469135802,2.469135802,2.469135802,,
Japan,JPN,13.00054855,12.92923752,12.8496983,12.78113001,12.69884805,12.6255144,12.53497942,12.44170096,12.35390947,12.27434842,12.1920439,12.12345679,12.06310014,12.01371742,11.96159122,11.91495199,11.86831276,11.81893004,11.78052126,11.7459882,11.66902114,11.64691683,11.62222954,,
Indonesia,IDN,9.980845344,9.991333484,10.0073417,9.453678301,9.572911894,9.903564312,10.21213643,10.32253791,10.87454528,11.31615118,11.15054897,11.08486009,12.36827724,13.61581391,12.66636122,11.86815856,12.14416225,12.53056741,13.02737405,13.02737405,12.97217331,12.97217331,12.97217331,,
"Hong Kong SAR, China",HKG,6.060606061,6.060606061,6.060606061,6.060606061,5.714285714,5.714285714,4.761904762,4.761904762,4.761904762,4.761904762,4.761904762,4.761904762,4.761904762,4.761904762,4.761904762,3.80952381,3.80952381,3.80952381,3.80952381,3.333333333,3.333333333,2.952380952,2.952380952,,
