"Data Source","World Development Indicators",

"Last Updated Date","2016-02-17",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015",
"Austria","AUT","Crop production index (2004-2006 = 100)","AG.PRD.CROP.XD","","86.37","76.49","87.86","93.29","65.42","83.95","88.37","95.79","90.2","89.08","82.74","78.48","86.8","85.83","86.06","88.09","81.53","88.75","84.88","93.19","82.08","107.95","91.76","93.04","84.57","86.78","82.03","98.08","88.84","89.95","87.23","79.94","82.59","83.84","86.63","86.43","93.5","95.68","98.25","93.88","97.07","95.2","92.36","106.04","99.45","94.5","98.92","110.05","103.47","97.66","115.88","98.05","96.01","","",
"Azerbaijan","AZE","Crop production index (2004-2006 = 100)","AG.PRD.CROP.XD","","","95.4","78.2","68.5","62.4","64.3","53.8","55","61.8","71.4","80.58","84.49","89.92","88.26","106.98","104.76","103.44","109.03","112.35","100.96","","","","","","","","","","","","95.74","78.34","68.46","62.46","64.41","53.77","55.73","62.2","71.77","80.75","84.5","89.82","88.69","106.71","104.6","103.36","109.24","112.35","101.91","111.17","116.42","119.63","","",
"Burundi","BDI","Crop production index (2004-2006 = 100)","AG.PRD.CROP.XD","","54.84","54.68","54.67","60.44","60.02","60.23","62.92","64.41","63.39","64.82","66.8","59.7","67.76","63.19","68.03","69.11","71.25","66.41","67.53","65.86","73.58","69.91","69.98","68.81","79.34","82.71","85.61","87.52","82.02","89.05","91.74","94.18","91.12","79.59","82.82","84.56","84.75","78.91","82.02","85.82","93.84","106","94.92","107.37","91.14","101.49","93.05","101.09","98.73","107.35","100.49","92.08","129.44","","",
"Belgium","BEL","Crop production index (2004-2006 = 100)","AG.PRD.CROP.XD","","","","","","","","","","","102.21","88.94","97.77","98.03","108.84","100.84","90.32","95.48","92.56","100.4","97.89","","","","","","","","","","","","","","","","","","","","102.24","88.96","97.72","97.95","108.84","100.82","90.34","95.51","92.6","100.17","98.77","100.14","88.43","94.84","","",
"Benin","BEN","Crop production index (2004-2006 = 100)","AG.PRD.CROP.XD","","19.82","17.96","17.81","18.74","19.56","18.44","20.7","22.89","21.85","23.24","23.8","23.99","24.41","21.83","20.98","25.02","23.91","26.74","28.44","25.95","25.03","25.5","25.48","34.95","34.47","39.02","32.31","41.4","43.23","45.92","51.35","51.05","57.91","59.2","65.36","74.12","78.1","79.63","82.94","89.47","89.01","98.45","102.14","106.79","101.82","91.38","95.64","114.05","112.11","116.2","127.63","133.58","149.05","","",
"Burkina Faso","BFA","Crop production index (2004-2006 = 100)","AG.PRD.CROP.XD","","16.5","18.85","18.84","21.12","20.23","21.47","22.27","24.32","23.48","23.39","21.15","21.09","19.96","24.62","28.36","25.36","25.59","28.36","30.07","27.25","31.25","31.46","31.18","31.53","41.28","49.31","43.36","51.48","48.64","44.53","55.83","58.2","58.68","56.23","56.14","64.88","62.82","75.8","75.3","60.38","84.19","87.75","97.95","87.33","104.52","108.15","77.45","119.47","99.43","120.66","102.33","128.1","141.55","","",
"Bangladesh","BGD","Crop production index (2004-2006 = 100)","AG.PRD.CROP.XD","","39.19","36.83","41.89","41.76","42.58","40.32","46.18","46.63","49.14","46.12","41.53","41.45","46.36","43.83","48.96","46.43","50.29","51.31","50.26","53.47","53","55.21","56.48","56.73","59.15","59.94","59.1","59.16","65.44","65.77","67.33","67.95","67.19","63.92","66.2","70.03","70.67","73.25","84.16","90.6","88.29","90.56","92.85","90.29","103.06","106.65","113","122.16","123.08","131.37","134.95","135.3","137.79","","",
"Bulgaria","BGR","Crop production index (2004-2006 = 100)","AG.PRD.CROP.XD","","116.05","129.94","136.82","141.74","145.79","169.82","159.74","160.14","168.42","163.92","163.69","173.39","171.45","160.07","162.49","177.15","156.02","166.8","170.5","157.9","177.32","190.82","160.08","181.65","137.56","166.42","152.73","154.51","167.59","149.96","145.31","126.68","92.94","110.12","126.34","90.18","109.31","102.25","101.21","87.46","99.16","105.52","92.22","118.43","87.35","94.21","64.4","105.35","98.29","112.67","114.39","103.53","128.58","","",
"Bahrain","BHR","Crop production index (2004-2006 = 100)","AG.PRD.CROP.XD","","72.97","73.13","74.28","74.28","74.5","73.27","73.97","74.55","75.06","75.99","76.68","78.25","78.25","85.09","120.21","157.77","198.78","199.97","200.42","203.04","91.18","73.34","74.78","75.88","84.02","88.77","98.15","98.11","97.94","61.17","65.03","74.09","80.07","91.86","109.45","111.3","108.89","129.57","113.91","111.12","106.21","92.5","96.12","92.42","87.07","120.51","110.59","109.86","107.94","113.14","119.38","122.76","123.39","","",
"Bahamas, The","BHS","Crop production index (2004-2006 = 100)","AG.PRD.CROP.XD","","39.05","40.92","43.25","44.7","46.19","49.71","53.02","53.47","53.79","58.75","55.59","63.94","64.68","66.47","69.26","76.63","76.11","74.71","74.98","74.77","80.97","78.81","75.34","79.21","76.42","74.29","74.82","76.21","79.83","79.06","73.22","68.86","69.24","70.84","75.05","74.97","79.06","82.4","90.2","88.32","92.45","89.07","93.84","100.56","97.24","102.2","110.38","110.8","101.8","136.07","139.96","143.18","144.71","","",
